Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"WAJ (mm)+, (NRB (mm)+) +12.0 months",0.749,0.684,7.503,4.924,1,1.061
"WAJ (mm)-, (NRB (mm)+) +12.0 months",0.242,0.221,8.25,5.468,1,1.505
"WAJ (mm)+, (KAK (mm)+) +12.0 months",0.589,0.538,7.206,4.542,1,1.689
"WAJ (mm)-, (KAK (mm)+) +12.0 months",0.403,0.368,8.387,5.689,1,2.107
"WAJ (mm)+, (MAK (mm)+) +12.0 months",0.511,0.466,7.364,4.862,1,1.697
"WAJ (mm)-, (MAK (mm)+) +12.0 months",0.476,0.435,8.073,5.269,1,1.653
"WAJ (mm)+, (NRB (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.511,0.466,7.263,4.695,1,1.51
"WAJ (mm)+, (NRB (mm)+) +12.0 months, (MAK (mm)+) +12.0 months",0.424,0.387,6.98,4.631,1,1.825
"WAJ (mm)-, (NRB (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.165,0.15,8.921,6.11,1,1.748
"WAJ (mm)-, (NRB (mm)+) +12.0 months, (MAK (mm)+) +12.0 months",0.156,0.142,7.694,5.379,1,1.814
"WAJ (mm)+, (MAK (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.312,0.285,7.278,4.67,1,1.739
"WAJ (mm)-, (MAK (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.203,0.186,9.255,6.051,1,2.232
"WAJ (mm)+, (NRB (mm)+) +12.0 months, (MAK (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.286,0.261,7.258,4.828,1,1.7
"WAJ (mm)-, (NRB (mm)+) +12.0 months, (MAK (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.104,0.095,8.292,5.948,1,1.705
"WAJ (mm)+, (NRB (mm)+) +2.0 years",0.562,0.466,7.449,4.898,1,2.282
"WAJ (mm)-, (NRB (mm)+) +2.0 years",0.429,0.356,7.222,4.756,1,2.574
"WAJ (mm)+, (KAK (mm)+) +2.0 years",0.543,0.451,7.307,4.587,1,1.49
"WAJ (mm)-, (KAK (mm)+) +2.0 years",0.448,0.372,7.404,5.127,1,1.486
"WAJ (mm)+, (MAK (mm)+) +2.0 years",0.481,0.399,7.554,4.539,1,2.386
"WAJ (mm)-, (MAK (mm)+) +2.0 years",0.505,0.419,7.198,5.105,1,2.368
"WAJ (mm)+, (NRB (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.39,0.324,7.415,4.821,1,1.955
"WAJ (mm)+, (NRB (mm)+) +2.0 years, (MAK (mm)+) +2.0 years",0.319,0.265,7.164,4.547,1,2.801
"WAJ (mm)-, (NRB (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.276,0.229,7.328,5.161,1,2.388
"WAJ (mm)-, (NRB (mm)+) +2.0 years, (MAK (mm)+) +2.0 years",0.267,0.221,6.554,4.825,1,3.184
"WAJ (mm)+, (MAK (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.267,0.221,7.768,4.532,1,1.684
"WAJ (mm)-, (MAK (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.233,0.194,7.51,5.614,1,2.025
"WAJ (mm)+, (NRB (mm)+) +2.0 years, (MAK (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.214,0.178,7.578,4.721,1,1.776
"WAJ (mm)-, (NRB (mm)+) +2.0 years, (MAK (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.167,0.138,6.743,5.315,1,2.871
"WAJ (mm)+, (NRB (mm)+) +3.0 years",0.274,0.206,7.308,4.975,1,1.747
"WAJ (mm)-, (NRB (mm)+) +3.0 years",0.716,0.538,6.904,4.449,1,2.152
"WAJ (mm)+, (KAK (mm)+) +3.0 years",0.432,0.324,7.354,4.576,1,2.796
"WAJ (mm)-, (KAK (mm)+) +3.0 years",0.558,0.419,6.755,4.609,1,2.641
"WAJ (mm)+, (MAK (mm)+) +3.0 years",0.395,0.296,7.32,4.602,1,3.092
"WAJ (mm)-, (MAK (mm)+) +3.0 years",0.589,0.443,6.848,4.6,1,2.895
"WAJ (mm)+, (NRB (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.195,0.146,7.649,4.971,1,2.053
"WAJ (mm)+, (NRB (mm)+) +3.0 years, (MAK (mm)+) +3.0 years",0.142,0.107,6.778,4.833,1,2.356
"WAJ (mm)-, (NRB (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.479,0.36,6.802,4.56,1,2.592
"WAJ (mm)-, (NRB (mm)+) +3.0 years, (MAK (mm)+) +3.0 years",0.458,0.344,6.552,4.415,1,3.078
"WAJ (mm)+, (MAK (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.189,0.142,8.389,5.062,1,3.786
"WAJ (mm)-, (MAK (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.347,0.261,7.061,4.981,1,2.64
"WAJ (mm)-, (NRB (mm)+) +3.0 years, (MAK (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.311,0.233,6.915,4.855,1,2.734
"WAJ (mm)+, (NRB (mm)+) +4.0 years",0.322,0.217,6.364,4.457,1,2.69
"WAJ (mm)-, (NRB (mm)+) +4.0 years",0.667,0.451,6.833,4.318,1,2.806
