Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"WAJ (mm)+, (KAK (mm)+) +4.0 years",0.52,0.352,6.539,4.248,1,2.396
"WAJ (mm)-, (KAK (mm)+) +4.0 years",0.468,0.316,6.838,4.496,1,2.243
"WAJ (mm)+, (MAK (mm)+) +4.0 years",0.515,0.348,6.398,4.292,1,2.45
"WAJ (mm)-, (MAK (mm)+) +4.0 years",0.468,0.316,7.037,4.437,1,2.231
"WAJ (mm)+, (NRB (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.257,0.174,6.568,4.697,1,2.174
"WAJ (mm)+, (NRB (mm)+) +4.0 years, (MAK (mm)+) +4.0 years",0.246,0.166,6.048,4.572,2,2.943
"WAJ (mm)-, (NRB (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.404,0.273,7.043,4.636,1,2.246
"WAJ (mm)-, (NRB (mm)+) +4.0 years, (MAK (mm)+) +4.0 years",0.392,0.265,6.97,4.532,1,2.353
"WAJ (mm)+, (MAK (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.304,0.206,6.827,4.673,1,2.094
"WAJ (mm)-, (MAK (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.251,0.17,7.814,4.962,1,1.679
"WAJ (mm)+, (NRB (mm)+) +4.0 years, (MAK (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.199,0.134,6.265,4.834,2,2.249
"WAJ (mm)-, (NRB (mm)+) +4.0 years, (MAK (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.234,0.158,7.9,5.054,1,1.847
"WAJ (mm)+, (NRB (mm)+) +5.0 years",0.542,0.328,6.157,4.129,1,3.289
"WAJ (mm)-, (NRB (mm)+) +5.0 years",0.444,0.269,6.574,4.131,1,3.205
"WAJ (mm)+, (KAK (mm)+) +5.0 years",0.549,0.332,6.238,4.216,1,2.648
"WAJ (mm)-, (KAK (mm)+) +5.0 years",0.438,0.265,6.478,4.027,1,2.383
"WAJ (mm)+, (MAK (mm)+) +5.0 years",0.562,0.34,6.36,4.441,1,3.498
"WAJ (mm)-, (MAK (mm)+) +5.0 years",0.418,0.253,6.375,3.698,1,3.45
"WAJ (mm)+, (NRB (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.373,0.225,6.158,4.408,1,2.745
"WAJ (mm)+, (NRB (mm)+) +5.0 years, (MAK (mm)+) +5.0 years",0.353,0.213,5.963,4.447,1,3.841
"WAJ (mm)-, (NRB (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.268,0.162,6.683,4.347,1,2.24
"WAJ (mm)-, (NRB (mm)+) +5.0 years, (MAK (mm)+) +5.0 years",0.235,0.142,6.167,3.884,1,3.536
"WAJ (mm)+, (MAK (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.32,0.194,6.612,4.844,1,2.678
"WAJ (mm)-, (MAK (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.196,0.119,7.033,4.207,1,2.558
"WAJ (mm)+, (NRB (mm)+) +5.0 years, (MAK (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.235,0.142,6.139,4.877,1,2.897
"WAJ (mm)-, (NRB (mm)+) +5.0 years, (MAK (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.144,0.087,6.909,4.512,1,2.223
"WAJ (mm)+, (NRB (mm)+) +6.0 years",0.596,0.32,6.123,3.967,1,2.919
"WAJ (mm)-, (NRB (mm)+) +6.0 years",0.39,0.209,5.83,3.79,1,2.221
"WAJ (mm)+, (KAK (mm)+) +6.0 years",0.463,0.249,5.841,3.437,1,3.379
"WAJ (mm)-, (KAK (mm)+) +6.0 years",0.522,0.281,6.155,4.265,1,3.319
"WAJ (mm)+, (MAK (mm)+) +6.0 years",0.375,0.202,5.98,3.796,1,2.663
"WAJ (mm)-, (MAK (mm)+) +6.0 years",0.603,0.324,6.061,3.974,1,3.309
"WAJ (mm)+, (NRB (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.353,0.19,5.875,3.756,1,2.93
"WAJ (mm)+, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years",0.287,0.154,5.564,3.822,1,2.993
"WAJ (mm)-, (NRB (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.279,0.15,5.868,4.275,1,2.511
"WAJ (mm)-, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years",0.301,0.162,5.39,3.793,1,2.362
"WAJ (mm)+, (MAK (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.184,0.099,6.08,3.929,1,2.466
"WAJ (mm)-, (MAK (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.331,0.178,6.311,4.57,1,2.887
"WAJ (mm)+, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.169,0.091,5.87,3.96,1,2.522
"WAJ (mm)-, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.206,0.111,5.429,4.444,2,2.351
