Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"KAK (mm)+, (MAK (mm)-) +5.0 years, (WAJ (mm)-) +5.0 years",0.222,0.134,6.324,4.323,1,3.543
"KAK (mm)+, (NRB (mm)+) +5.0 years, (MAK (mm)+) +5.0 years, (WAJ (mm)+) +5.0 years",0.216,0.13,6.182,4.31,1,3.433
"KAK (mm)+, (MAK (mm)-) +5.0 years, (NRB (mm)+) +5.0 years, (WAJ (mm)+) +5.0 years",0.131,0.079,5.75,3.015,1,3.011
"KAK (mm)+, (NRB (mm)+) +6.0 years",0.566,0.304,5.558,3.687,1,3.707
"KAK (mm)-, (NRB (mm)+) +6.0 years",0.434,0.233,6.576,4.03,1,3.564
"KAK (mm)+, (MAK (mm)+) +6.0 years",0.507,0.273,5.855,3.54,1,3.333
"KAK (mm)+, (MAK (mm)-) +6.0 years",0.485,0.261,6.197,4.197,1,3.337
"KAK (mm)+, (WAJ (mm)+) +6.0 years",0.544,0.292,6.122,3.869,1,3.525
"KAK (mm)+, (WAJ (mm)-) +6.0 years",0.441,0.237,5.867,3.935,1,3.466
"KAK (mm)+, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years",0.331,0.178,5.044,3.313,1,3.376
"KAK (mm)+, (NRB (mm)+) +6.0 years, (MAK (mm)-) +6.0 years",0.228,0.123,6.387,4.069,1,2.95
"KAK (mm)+, (NRB (mm)+) +6.0 years, (WAJ (mm)+) +6.0 years",0.338,0.182,5.674,3.642,1,2.913
"KAK (mm)+, (NRB (mm)+) +6.0 years, (WAJ (mm)-) +6.0 years",0.213,0.115,5.379,3.872,1,3.133
"KAK (mm)+, (MAK (mm)+) +6.0 years, (WAJ (mm)+) +6.0 years",0.294,0.158,5.925,3.69,1,2.572
"KAK (mm)+, (MAK (mm)+) +6.0 years, (WAJ (mm)-) +6.0 years",0.206,0.111,5.786,3.374,1,3.315
"KAK (mm)+, (WAJ (mm)+) +6.0 years, (MAK (mm)-) +6.0 years",0.243,0.13,6.455,4.076,1,2.797
"KAK (mm)+, (MAK (mm)-) +6.0 years, (WAJ (mm)-) +6.0 years",0.235,0.126,5.938,4.366,1,3.717
"KAK (mm)+, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years, (WAJ (mm)+) +6.0 years",0.176,0.095,5.042,3.541,1,2.038
"KAK (mm)+, (WAJ (mm)-) +6.0 years, (NRB (mm)+) +6.0 years, (MAK (mm)+) +6.0 years",0.147,0.079,5.05,3.106,1,3.561
"KAK (mm)+, (MAK (mm)-) +6.0 years, (NRB (mm)+) +6.0 years, (WAJ (mm)+) +6.0 years",0.154,0.083,6.524,3.633,1,2.555
