Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"MAK (EVI)+, (NRB (EVI)+) +4.0 years",0.632,0.427,6.972,4.543,1,2.636
"MAK (EVI)-, (NRB (EVI)+) +4.0 years",0.368,0.249,6.143,3.931,1,2.284
"MAK (EVI)+, (KAK (EVI)+) +3.0 years",0.485,0.328,6.277,4.181,1,3.313
"MAK (EVI)-, (KAK (EVI)+) +3.0 years",0.515,0.348,7.034,4.466,1,3.302
"MAK (EVI)+, (WAJ (EVI)+) +2.0 years",0.684,0.462,6.735,4.365,1,2.997
"MAK (EVI)+, (WAJ (EVI)-) +2.0 years",0.31,0.209,6.623,4.275,1,2.92
"MAK (EVI)+, (NRB (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.368,0.249,6.317,4.193,1,2.585
"MAK (EVI)+, (NRB (EVI)+) +2.0 years, (WAJ (EVI)+) +2.0 years",0.456,0.308,6.859,4.468,1,2.769
"MAK (EVI)+, (NRB (EVI)+) +2.0 years, (WAJ (EVI)-) +2.0 years",0.175,0.119,7.267,4.718,1,2.691
"MAK (EVI)-, (NRB (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.251,0.17,6.14,3.831,1,2.889
"MAK (EVI)+, (WAJ (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.357,0.241,5.852,3.983,1,2.794
"MAK (EVI)+, (WAJ (EVI)-) +3.0 years, (KAK (EVI)+) +3.0 years",0.129,0.087,7.455,4.48,1,3.496
"MAK (EVI)+, (NRB (EVI)+) +3.0 years, (WAJ (EVI)+) +3.0 years, (KAK (EVI)+) +3.0 years",0.275,0.186,5.809,3.835,1,2.317
