Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"NRB (mm)+, (KAK (mm)+) +12.0 months",0.476,0.435,7.882,5.182,1,1.571
"NRB (mm)+, (KAK (mm)-) +12.0 months",0.524,0.478,7.471,4.929,1,1.511
"NRB (mm)+, (MAK (mm)+) +12.0 months",0.463,0.423,8.037,5.311,1,2.602
"NRB (mm)+, (MAK (mm)-) +12.0 months",0.532,0.486,7.382,4.804,1,2.434
"NRB (mm)+, (WAJ (mm)+) +12.0 months",0.368,0.336,7.024,4.563,1,1.903
"NRB (mm)+, (WAJ (mm)-) +12.0 months",0.623,0.569,8.076,5.313,1,1.52
"NRB (mm)+, (MAK (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.229,0.209,8.679,5.669,1,1.825
"NRB (mm)+, (MAK (mm)-) +12.0 months, (KAK (mm)+) +12.0 months",0.242,0.221,7.214,4.566,1,2.202
"NRB (mm)+, (WAJ (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.177,0.162,7.293,4.885,1,1.898
"NRB (mm)+, (WAJ (mm)-) +12.0 months, (KAK (mm)+) +12.0 months",0.299,0.273,8.232,5.319,1,1.391
"NRB (mm)+, (MAK (mm)+) +12.0 months, (KAK (mm)-) +12.0 months",0.234,0.213,7.407,4.852,1,2.823
"NRB (mm)+, (MAK (mm)-) +12.0 months, (KAK (mm)-) +12.0 months",0.29,0.265,7.522,4.991,1,2.607
"NRB (mm)+, (WAJ (mm)+) +12.0 months, (KAK (mm)-) +12.0 months",0.19,0.174,6.773,4.226,1,2.56
"NRB (mm)+, (WAJ (mm)-) +12.0 months, (KAK (mm)-) +12.0 months",0.325,0.296,7.933,5.302,1,2.478
"NRB (mm)+, (MAK (mm)+) +12.0 months, (WAJ (mm)+) +12.0 months",0.208,0.19,7.604,5.306,2,1.368
"NRB (mm)+, (MAK (mm)+) +12.0 months, (WAJ (mm)-) +12.0 months",0.251,0.229,8.448,5.315,1,3.06
"NRB (mm)+, (MAK (mm)-) +12.0 months, (WAJ (mm)+) +12.0 months",0.156,0.142,6.361,3.207,1,2.397
"NRB (mm)+, (MAK (mm)-) +12.0 months, (WAJ (mm)-) +12.0 months",0.372,0.34,7.826,5.296,1,3.359
"NRB (mm)+, (WAJ (mm)-) +12.0 months, (MAK (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.13,0.119,9.033,5.529,1,1.458
