Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"MAK (mm)+, (NRB (mm)+) +12.0 months",0.545,0.498,8.238,5.327,1,1.829
"MAK (mm)-, (NRB (mm)+) +12.0 months",0.45,0.411,7.019,4.622,1,1.976
"MAK (mm)+, (KAK (mm)+) +12.0 months",0.532,0.486,8.325,5.003,1,1.768
"MAK (mm)-, (KAK (mm)+) +12.0 months",0.463,0.423,6.953,5.018,1,1.873
"MAK (mm)+, (WAJ (mm)+) +12.0 months",0.528,0.482,7.869,4.919,1,1.137
"MAK (mm)+, (WAJ (mm)-) +12.0 months",0.459,0.419,7.519,5.242,1,1.254
"MAK (mm)+, (NRB (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.381,0.348,8.511,5.238,1,2.177
"MAK (mm)+, (NRB (mm)+) +12.0 months, (WAJ (mm)+) +12.0 months",0.329,0.3,8.171,5.082,1,2.194
"MAK (mm)+, (NRB (mm)+) +12.0 months, (WAJ (mm)-) +12.0 months",0.208,0.19,8.458,5.763,1,1.909
"MAK (mm)-, (NRB (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.299,0.273,6.594,4.71,1,2.377
"MAK (mm)+, (WAJ (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.286,0.261,8.47,4.93,1,1.988
"MAK (mm)+, (WAJ (mm)-) +12.0 months, (KAK (mm)+) +12.0 months",0.247,0.225,8.158,5.081,1,2.114
"MAK (mm)+, (NRB (mm)+) +12.0 months, (WAJ (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.229,0.209,8.434,5.25,1,2.335
"MAK (mm)+, (WAJ (mm)-) +12.0 months, (NRB (mm)+) +12.0 months, (KAK (mm)+) +12.0 months",0.152,0.138,8.629,5.216,1,1.985
"MAK (mm)+, (NRB (mm)+) +2.0 years",0.49,0.407,6.825,4.46,1,2.102
"MAK (mm)-, (NRB (mm)+) +2.0 years",0.505,0.419,7.868,5.095,1,2.141
"MAK (mm)+, (KAK (mm)+) +2.0 years",0.514,0.427,7.333,4.763,1,1.933
"MAK (mm)-, (KAK (mm)+) +2.0 years",0.481,0.399,7.376,4.882,1,2.0
"MAK (mm)+, (WAJ (mm)+) +2.0 years",0.557,0.462,7.333,4.604,1,2.356
"MAK (mm)+, (WAJ (mm)-) +2.0 years",0.429,0.356,7.422,5.132,1,2.352
"MAK (mm)+, (NRB (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.343,0.285,6.958,4.644,1,1.975
"MAK (mm)+, (NRB (mm)+) +2.0 years, (WAJ (mm)+) +2.0 years",0.319,0.265,6.806,4.275,1,2.383
"MAK (mm)+, (NRB (mm)+) +2.0 years, (WAJ (mm)-) +2.0 years",0.162,0.134,6.941,4.911,1,2.543
"MAK (mm)-, (NRB (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.333,0.277,7.757,5.186,1,2.499
"MAK (mm)+, (WAJ (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.29,0.241,7.246,4.654,1,2.646
"MAK (mm)+, (WAJ (mm)-) +2.0 years, (KAK (mm)+) +2.0 years",0.224,0.186,7.447,4.898,1,2.828
"MAK (mm)+, (NRB (mm)+) +2.0 years, (WAJ (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.214,0.178,6.733,4.302,1,2.131
"MAK (mm)+, (WAJ (mm)-) +2.0 years, (NRB (mm)+) +2.0 years, (KAK (mm)+) +2.0 years",0.129,0.107,7.333,5.142,1,2.319
"MAK (mm)+, (NRB (mm)+) +3.0 years",0.505,0.379,7.25,4.754,1,2.59
"MAK (mm)-, (NRB (mm)+) +3.0 years",0.489,0.368,6.785,4.392,1,2.569
"MAK (mm)+, (KAK (mm)+) +3.0 years",0.589,0.443,7.446,4.539,1,2.797
"MAK (mm)-, (KAK (mm)+) +3.0 years",0.405,0.304,6.403,4.582,1,2.928
"MAK (mm)+, (WAJ (mm)+) +3.0 years",0.447,0.336,7.329,4.813,1,2.903
"MAK (mm)+, (WAJ (mm)-) +3.0 years",0.537,0.403,6.794,4.413,1,2.719
"MAK (mm)+, (NRB (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.389,0.292,7.5,4.74,1,2.498
"MAK (mm)+, (NRB (mm)+) +3.0 years, (WAJ (mm)+) +3.0 years",0.274,0.206,7.308,4.83,1,3.094
"MAK (mm)+, (NRB (mm)+) +3.0 years, (WAJ (mm)-) +3.0 years",0.226,0.17,7.233,4.704,1,2.563
"MAK (mm)-, (NRB (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.289,0.217,6.4,4.531,1,3.308
"MAK (mm)+, (WAJ (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.284,0.213,7.796,4.878,1,2.897
"MAK (mm)+, (WAJ (mm)-) +3.0 years, (KAK (mm)+) +3.0 years",0.3,0.225,7.14,4.207,1,3.219
"MAK (mm)+, (NRB (mm)+) +3.0 years, (WAJ (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.216,0.162,7.707,4.754,1,2.898
"MAK (mm)+, (WAJ (mm)-) +3.0 years, (NRB (mm)+) +3.0 years, (KAK (mm)+) +3.0 years",0.174,0.13,7.242,4.71,1,2.433
"MAK (mm)+, (NRB (mm)+) +4.0 years",0.333,0.225,6.842,4.448,1,2.289
"MAK (mm)-, (NRB (mm)+) +4.0 years",0.661,0.447,6.611,4.297,1,2.678
"MAK (mm)+, (KAK (mm)+) +4.0 years",0.556,0.375,6.968,4.261,1,2.55
"MAK (mm)-, (KAK (mm)+) +4.0 years",0.439,0.296,6.333,4.434,1,2.425
"MAK (mm)+, (WAJ (mm)+) +4.0 years",0.456,0.308,6.987,4.491,1,2.743
"MAK (mm)+, (WAJ (mm)-) +4.0 years",0.526,0.356,6.456,4.254,1,2.852
"MAK (mm)+, (NRB (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.281,0.19,7.25,4.653,1,2.118
"MAK (mm)+, (NRB (mm)+) +4.0 years, (WAJ (mm)+) +4.0 years",0.205,0.138,7.229,4.691,1,1.985
"MAK (mm)+, (NRB (mm)+) +4.0 years, (WAJ (mm)-) +4.0 years",0.123,0.083,6.286,4.037,1,2.269
"MAK (mm)-, (NRB (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.386,0.261,6.561,4.619,1,2.367
"MAK (mm)+, (WAJ (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.275,0.186,7.532,4.63,1,2.147
"MAK (mm)+, (WAJ (mm)-) +4.0 years, (KAK (mm)+) +4.0 years",0.275,0.186,6.426,3.825,1,3.168
"MAK (mm)+, (NRB (mm)+) +4.0 years, (WAJ (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.17,0.115,7.586,5.021,1,1.789
"MAK (mm)+, (WAJ (mm)-) +4.0 years, (NRB (mm)+) +4.0 years, (KAK (mm)+) +4.0 years",0.111,0.075,6.737,3.972,1,2.137
"MAK (mm)+, (NRB (mm)+) +5.0 years",0.497,0.3,6.289,4.192,1,3.181
"MAK (mm)-, (NRB (mm)+) +5.0 years",0.497,0.3,6.421,4.034,1,3.194
"MAK (mm)+, (KAK (mm)+) +5.0 years",0.641,0.387,6.531,4.089,1,3.091
"MAK (mm)-, (KAK (mm)+) +5.0 years",0.353,0.213,6.037,4.141,1,2.638
"MAK (mm)+, (WAJ (mm)+) +5.0 years",0.503,0.304,6.325,4.182,1,3.772
"MAK (mm)+, (WAJ (mm)-) +5.0 years",0.477,0.289,6.411,4.094,2,3.611
"MAK (mm)+, (NRB (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.399,0.241,6.459,4.337,1,2.745
"MAK (mm)+, (NRB (mm)+) +5.0 years, (WAJ (mm)+) +5.0 years",0.288,0.174,6.159,4.172,1,3.697
"MAK (mm)+, (NRB (mm)+) +5.0 years, (WAJ (mm)-) +5.0 years",0.203,0.123,6.484,4.28,1,2.466
"MAK (mm)-, (NRB (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.255,0.154,6.205,4.363,1,2.763
"MAK (mm)+, (WAJ (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.333,0.202,6.549,4.263,1,3.742
"MAK (mm)+, (WAJ (mm)-) +5.0 years, (KAK (mm)+) +5.0 years",0.301,0.182,6.543,3.927,1,2.935
"MAK (mm)+, (NRB (mm)+) +5.0 years, (WAJ (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.242,0.146,6.243,4.302,1,3.026
"MAK (mm)+, (WAJ (mm)-) +5.0 years, (NRB (mm)+) +5.0 years, (KAK (mm)+) +5.0 years",0.157,0.095,6.792,4.368,1,2.288
"MAK (mm)+, (NRB (mm)+) +6.0 years",0.537,0.289,5.973,3.924,1,3.406
"MAK (mm)-, (NRB (mm)+) +6.0 years",0.456,0.245,6.081,3.824,1,3.222
"MAK (mm)+, (KAK (mm)+) +6.0 years",0.647,0.348,5.977,3.564,1,3.45
"MAK (mm)-, (KAK (mm)+) +6.0 years",0.346,0.186,6.106,4.406,1,2.849
"MAK (mm)+, (WAJ (mm)+) +6.0 years",0.544,0.292,6.027,4.083,1,2.768
"MAK (mm)+, (WAJ (mm)-) +6.0 years",0.434,0.233,6.034,3.673,1,2.548
"MAK (mm)+, (NRB (mm)+) +6.0 years, (KAK (mm)+) +6.0 years",0.412,0.221,5.857,3.748,1,2.988
"MAK (mm)+, (NRB (mm)+) +6.0 years, (WAJ (mm)+) +6.0 years",0.331,0.178,5.933,3.969,1,2.265
"MAK (mm)+, (NRB (mm)+) +6.0 years, (WAJ (mm)-) +6.0 years",0.206,0.111,6.036,3.85,1,2.315
