NDVI_1 NDVI_2 Month Year
75.97346600331674 100.0 1 2012
0.0 0.5339435545385203 6 2012
74.92537313432835 85.94584286803966 10 2012
72.63018242122719 98.62700228832952 1 2013
8.835820895522389 0.0 6 2013
72.77611940298507 48.39816933638444 10 2013
70.3681592039801 98.43630816170862 1 2014
36.13930348258707 98.53165522501907 6 2014
72.30514096185739 90.14111365369946 10 2014
69.3731343283582 100.0 1 2015
4.5240464344941955 28.451563691838295 6 2015
16.35157545605307 28.08924485125858 10 2015
79.4759535655058 93.55453852021358 1 2016
16.35820895522388 0.8771929824561403 6 2016
67.90713101160863 99.88558352402745 10 2016
