Date Area_1 Area_31 Area_61 Area_91 Area_121 Area_151 Area_181 Area_211
2007-01-01 0.0032605801296624035 1.894578198674393 4.548509280879053 7.523064075833847 76.49115761443726 0.0 57.9811212897437 18.411771418841443
2007-06-01 0.0 20.036264896775467 28.013817614016144 41.11827029846988 88.96528893326966 0.0 12.151044154039855 8.183693838771559
2008-01-01 0.0 0.9551688346505472 0.11991689143536172 0.4258679936020172 12.390374679807232 0.0 18.110066715871433 24.154739887220156
2008-06-01 0.02825836112374083 59.3231760224183 59.39545221529249 32.56504404500325 87.52894397892878 0.0 5.120913471974992 6.799758717070405
2009-01-01 0.7888792480377648 1.5284875074495199 0.6292919650248437 0.24146407293555464 15.034226255083286 0.0 10.887820373666768 12.873313781928777
2009-06-01 0.2813156078536507 7.276527989363263 55.517535581080665 16.6764182164989 68.30254417574784 0.0 1.3283477329628504 4.249985055674406
2010-01-01 0.0 2.622593284291793 33.539957503772314 10.451065032270686 62.893819013299755 0.0 42.83998321249222 49.64740448764512
2010-06-01 0.2871121947508283 29.62526877143152 55.175536954147184 49.203603303329956 74.99837190118525 0.0 25.280394795872592 10.941963485125415
2011-01-01 0.0 0.17589018366123296 0.706096741412447 2.243097985867197 25.110529819534293 0.0 23.65573307862632 18.087162552599498
2011-06-01 11.985711413298457 27.439593224514493 39.18221027481256 71.44528837114098 91.39712586289237 0.0 11.60436475202246 9.073832214169395
2012-01-01 0.0005434300216104006 0.07372533959847767 0.12281518488395052 0.06412474255002727 6.7699966714424225 0.0 12.335381119842545 16.968602424784756
2012-06-01 10.807736269787647 34.69728230646192 62.68392841939755 57.350343900632005 73.90537489688708 0.0 12.673121173967786 5.664352258585741
2013-01-01 0.0007245733621472007 1.7273828953589265 0.9819780490499938 2.2414676958023656 19.482192216964066 0.0 24.313665899651223 22.313236687323045
2013-06-01 6.939420232624278 36.46614702680378 75.60379603984428 64.67161429510786 79.8956931359354 0.0 1.506172303506563 7.280875429536146
2014-01-01 0.0 0.47314640548212206 0.7323625257902832 0.7827203744595135 4.4289714757087655 0.0 10.668931533017844 31.32493673568832
2014-06-01 7.961249816592368 50.33828518845247 64.88264628683324 35.670384331825616 76.86109784512077 0.0 7.437336285619184 10.863166131991907
2015-01-01 0.0 0.9868689192444874 0.551219185253483 0.04999556198815684 7.082591643873283 0.0 1.3008509529805061 12.543814045492338
2015-06-01 0.6782006669697799 31.89372682497387 55.650675936375215 49.39525295761789 66.29347023835366 0.0018114334053680018 9.786682875294867 7.956721233078948
2016-01-01 0.013223463859186413 0.7410574061360495 1.033241614421908 2.209767611208425 34.16058843109162 0.0 16.81265286038872 16.12664817796971
2016-06-01 0.5227796807892053 26.466853485831876 30.39132395856165 10.98308302342727 53.97599820547331 0.0 0.7201623757217904 7.406951194549759
2017-01-01 0.0 0.5628123590478381 0.14255980900246173 0.09202081699269449 28.177506186775496 0.0 2.191059204908899 15.611295374142511
2017-06-01 1.2330427190339988 24.356895855259225 50.362377252743876 24.176658231425108 45.20886698794484 0.0 1.9014385157527605 8.373169772973052
