Latitude-1 Latitude-2 Longitude-1 Longitude-2 Area
-1.7428 -1.3428 36.7979 36.9979 NRB
0.6164 0.8164 35.2288 35.4288 ELD
1.6065 1.8065 39.6024 39.8024 WAJ
-2.2701 -2.0701 37.8197 38.0197 MAK
