"NDVI_1 (+6months)" NDVI_2 Month Year
74.92537313432835 100.0 1 2012
72.63018242122719 0.5339435545385203 6 2012
8.835820895522389 85.94584286803966 10 2012
72.77611940298507 98.62700228832952 1 2013
70.3681592039801 0.0 6 2013
36.13930348258707 48.39816933638444 10 2013
72.30514096185739 98.43630816170862 1 2014
69.3731343283582 98.53165522501907 6 2014
4.5240464344941955 90.14111365369946 10 2014
16.35157545605307 100.0 1 2015
79.4759535655058 28.451563691838295 6 2015
16.35820895522388 28.08924485125858 10 2015
67.90713101160863 93.55453852021358 1 2016
