rain(mm)
10368000.0
10368000.0
10540800.0
10540800.0
10627200.0
10540800.0
10627200.0
10540800.0
42076800.0
42163200.0
41904000.0
41990400.0
10368000.0
10368000.0
10540800.0
10540800.0
10627200.0
10540800.0
10627200.0
10540800.0
